City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Raymond,US,2022-04-24 19:03:07,43.9015,-70.4703,59.63,18,18,2.48
255,Ardrishaig,GB,2022-04-24 19:03:08,56.0157,-5.4481,51.73,79,98,4.83
256,Salinas,US,2022-04-24 19:00:46,36.6777,-121.6555,74.98,62,3,5.53
257,Esperance,AU,2022-04-24 19:03:09,-33.8667,121.9,57.88,89,0,10.76
258,Nador,MA,2022-04-24 19:00:53,35.174,-2.9287,62.85,63,0,4.61
259,Vilcun,CL,2022-04-24 19:00:23,-38.65,-72.2333,46.56,94,100,10.63
260,Conde,BR,2022-04-24 19:02:07,-7.2597,-34.9075,80.56,75,95,13.82
261,Berlevag,NO,2022-04-24 19:03:10,70.8578,29.0864,35.4,84,100,9.1
262,Phrae,TH,2022-04-24 19:03:10,18.0833,100.0,85.05,39,7,1.81
263,Olovyannaya,RU,2022-04-24 19:03:11,50.95,115.5667,31.46,33,100,4.85
264,Zambezi,ZM,2022-04-24 19:02:16,-13.5432,23.1047,69.48,70,70,5.37
265,Saint George,US,2022-04-24 19:03:12,37.1041,-113.5841,67.62,18,0,11.5
266,Kununurra,AU,2022-04-24 19:03:12,-15.7667,128.7333,67.98,88,67,0.0
267,Belyy Yar,RU,2022-04-24 19:03:12,53.6039,91.3903,26.85,81,99,0.0
268,Padang,ID,2022-04-24 19:03:13,-0.9492,100.3543,78.26,87,100,4.61
269,Bakchar,RU,2022-04-24 19:03:13,57.0186,82.0711,30.0,90,100,3.91
270,Korla,CN,2022-04-24 19:03:14,41.7597,86.1469,68.05,23,89,8.97
271,Tucano,BR,2022-04-24 19:03:14,-10.9631,-38.7867,88.48,41,3,13.35
272,Streator,US,2022-04-24 19:03:15,41.1209,-88.8354,68.05,84,100,13.65
273,Bengkulu,ID,2022-04-24 19:03:15,-3.8004,102.2655,77.13,90,100,5.19
274,Rafaela,AR,2022-04-24 19:04:16,-31.2503,-61.4867,76.89,57,34,14.85
275,Monywa,MM,2022-04-24 19:04:16,22.1167,95.1333,92.07,32,0,2.28
276,Clyde River,CA,2022-04-24 19:04:16,70.4692,-68.5914,5.23,85,100,6.91
277,Tacarigua,VE,2022-04-24 19:04:17,10.0862,-67.9198,83.12,57,94,3.13
278,Itacare,BR,2022-04-24 19:04:17,-14.2775,-38.9967,82.67,68,26,6.73
279,Caramay,PH,2022-04-24 19:04:18,10.1815,119.236,78.21,90,94,3.2
280,Tazovskiy,RU,2022-04-24 19:04:18,67.4667,78.7,-4.83,100,100,4.79
281,Plouzane,FR,2022-04-24 19:04:19,48.3833,-4.6167,53.92,87,100,9.22
282,Tessalit,ML,2022-04-24 19:04:19,20.1986,1.0114,85.66,7,0,10.18
283,Hamilton,US,2022-04-24 19:00:51,39.1834,-84.5333,83.25,49,100,8.99
284,Kolosovka,RU,2022-04-24 19:04:20,56.4678,73.611,35.33,54,13,6.2
285,Galveston,US,2022-04-24 19:04:20,29.3669,-94.9669,87.04,78,100,19.57
286,Geraldton,AU,2022-04-24 19:04:21,-28.7667,114.6,59.41,72,100,8.05
287,Tateyama,JP,2022-04-24 19:04:21,34.9833,139.8667,62.11,86,5,4.32
288,Srednekolymsk,RU,2022-04-24 19:04:22,67.45,153.6833,9.43,95,100,9.44
289,San Policarpo,PH,2022-04-24 19:00:33,12.1791,125.5072,80.44,85,100,7.87
290,Laguna,US,2022-04-24 19:04:22,38.421,-121.4238,75.43,41,0,4.61
291,Mogadishu,SO,2022-04-24 19:04:23,2.0371,45.3438,83.52,76,7,14.2
292,Orthez,FR,2022-04-24 19:04:23,43.4884,-0.7724,58.48,92,17,5.59
293,Faya,SA,2022-04-24 19:04:23,18.3851,42.4509,63.12,46,100,2.84
