City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Port-Gentil,GA,-0.7193,8.7815,80.56,94,75,1.14,broken clouds
285,Leningradskiy,RU,69.3833,178.4167,21.58,90,100,2.3,overcast clouds
286,Christchurch,NZ,-43.5333,172.6333,58.41,84,86,3,overcast clouds
287,Nishihara,JP,26.1842,127.7558,78.85,95,100,12.66,overcast clouds
288,Saint-Georges,GD,12.0564,-61.7485,80.28,94,75,21.85,broken clouds
289,Griffith,US,41.5284,-87.4237,52.29,61,100,13.8,overcast clouds
290,Batyrevo,RU,55.0675,47.6111,32.56,77,17,3.98,few clouds
291,Olga,RU,43.7444,135.2892,45.88,49,100,5.28,overcast clouds
292,Campbell River,CA,50.0163,-125.2446,51.46,66,75,9.22,broken clouds
293,Livingston,GB,55.9029,-3.5226,44.85,80,100,0.87,overcast clouds
294,Roma,US,43.2128,-75.4557,48.51,30,0,20.71,clear sky
295,Elat,IL,29.5581,34.9482,76.84,22,0,11.5,clear sky
296,Kanungu,UG,-0.9575,29.7897,61.97,99,100,1.45,moderate rain
297,Vaitape,PF,-16.5167,-151.75,82.29,69,8,23.67,clear sky
298,Sosnovo-Ozerskoye,RU,52.5249,111.5418,25.61,62,76,5.73,broken clouds
299,Mayumba,GA,-3.432,10.6554,78.01,87,100,2.51,overcast clouds
300,Whitianga,NZ,-36.8333,175.7,60.6,79,82,11.52,broken clouds
301,Lensk,RU,60.7253,114.9278,27.48,88,100,4.47,overcast clouds
302,Polunochnoye,RU,60.8697,60.4153,26.38,94,87,4.41,overcast clouds
303,Moron,AR,-34.6534,-58.6198,56.97,32,0,4.54,clear sky
304,Luanda,AO,-8.8368,13.2343,76.53,92,100,9.48,overcast clouds
305,Caravelas,BR,-17.7125,-39.2481,75.78,83,0,4.63,clear sky
306,Huarmey,PE,-10.0681,-78.1522,70.3,81,97,8.9,overcast clouds
307,Nisia Floresta,BR,-6.0911,-35.2086,81.41,83,33,8.93,scattered clouds
308,Gazimurskiy Zavod,RU,51.5461,118.3266,30.16,55,49,3.78,scattered clouds
309,Ereymentau,KZ,51.6199,73.1033,57.54,45,100,7.85,overcast clouds
310,Chaman,PK,30.9236,66.4512,73.36,23,26,1.03,scattered clouds
311,Havoysund,NO,70.9963,24.6622,25.03,64,100,18.41,light snow
312,Saldanha,ZA,-33.0117,17.9442,59.05,91,27,15.01,scattered clouds
313,Sorland,NO,67.667,12.6934,35.19,57,100,17.09,overcast clouds
314,Kango,GA,0.1943,10.0951,74.66,96,99,1.21,overcast clouds
315,Ilam,NP,26.9167,87.9167,66.58,69,0,5.26,clear sky
316,Oranjestad,AW,12.524,-70.027,82.35,74,20,17.27,few clouds
317,Lucapa,AO,-8.4192,20.7447,67.32,94,99,3.18,light rain
318,Oneonta,US,42.4529,-75.0638,46.11,35,6,16.35,clear sky
319,Itanhem,BR,-17.1664,-40.33,71.42,89,20,6.33,few clouds
320,Straumen,NO,63.8709,11.2999,35.6,80,62,1.92,broken clouds
321,Gombe,NG,10.2897,11.1673,88.39,33,69,7.29,broken clouds
322,Lewisporte,CA,49.2499,-55.0482,46.11,65,100,9.66,overcast clouds
323,Chapais,CA,49.7834,-74.8492,37.18,62,6,10.92,clear sky
324,Khash,IR,28.2211,61.2158,69.33,40,7,3.76,clear sky
325,Karaton,ID,-6.3424,106.1045,75.06,94,89,4.32,overcast clouds
326,Sabang,ID,5.8933,95.3214,83.57,73,88,8.61,overcast clouds
327,Isfana,KG,39.8386,69.5306,57.76,43,93,5.55,overcast clouds
328,Romitan,UZ,39.9343,64.3814,69.75,56,0,6.91,clear sky
329,Cascavel,BR,-24.9558,-53.4553,74.8,73,20,4.61,few clouds
330,Estrela,BR,-28.0611,-50.9383,63.39,98,97,3.27,moderate rain
331,Show Low,US,34.2542,-110.0298,70.66,13,0,19.57,clear sky
332,Serov,RU,59.6033,60.5787,29.07,80,57,9.42,broken clouds
333,Manitouwadge,CA,49.1215,-85.8403,47.16,48,29,4.29,scattered clouds
334,Guiratinga,BR,-16.3494,-53.7583,78.8,47,37,4.74,scattered clouds
335,Georgetown,MY,5.4112,100.3354,78.75,94,20,3.44,few clouds
336,Quatre Cocos,MU,-20.2078,57.7625,74.08,80,0,4.72,clear sky
337,Springbok,ZA,-29.6643,17.8865,51.91,52,0,4.79,clear sky
338,San Vicente,AR,-26.6167,-54.1333,65.43,98,62,2.62,broken clouds
339,Salalah,OM,17.0151,54.0924,84.29,79,75,3.44,broken clouds
340,Mar Del Plata,AR,-38.0023,-57.5575,48.87,85,20,15.01,few clouds
341,Katobu,ID,-4.9408,122.5276,74.57,94,67,2.19,broken clouds
342,Babynino,RU,54.39,35.73,40.75,95,100,4.5,overcast clouds
343,Koumac,NC,-20.5667,164.2833,72.37,89,100,8.9,overcast clouds
344,Hope,US,33.6671,-93.5916,82.45,47,97,8.32,overcast clouds
345,Fortuna,US,40.5982,-124.1573,59.86,61,0,13.8,clear sky
346,Stolin,BY,51.8912,26.846,42.73,70,81,4.16,broken clouds
